id,produto,tipo,modulo,superficie,rota_ou_origem,exibicao_principal,funcoes_principais,evidencia,lacuna_principal,referencia
V22,FT Vision,Rota,Gestão,Frota,/ftv/ft/fleet-manage,Filtro tabela hierárquica e auditoria,Adicionar excluir selecionar e navegar,Verificada,Exclusão/edição e dependências,06
V23,FT Vision,Rota,Gestão,Adicionar frota,/ftv/ft/fleet-manage/add-fleet,Formulário hierarquia e metadados,Salvar ou cancelar,Verificada sem salvar,Validações e pós-criação,06
V24,FT Vision,Rota,Gestão,Gestão de Veículos,/ftv/ft/vehicle-manage,Filtros tabela dispositivo/SIM/canais,Filtrar transferir editar abrir detalhe,Verificada,Transferência/edição pós-confirmação,06
V25,FT Vision,Rota,Gestão,Detalhe do veículo,/ftv/ft/vehicle-manage/detail,Básico dispositivo e CH1-CH8,Editar e configurar canais,Verificada,Persistência e regras de canal,06
V26,FT Vision,Rota,Gestão,Motorista,/ftv/ft/driver-manage/driver,Filtros lista e ações,Adicionar excluir editar e filtrar,Verificada no vazio,Estado populado e edição,06
V27,FT Vision,Rota,Gestão,Adicionar motorista,/ftv/ft/driver-manage/driver/add-driver,Formulário identidade/frota/foto,Upload salvar e cancelar,Verificada sem salvar,Privacidade biométrica e validações,06
M01,FT Manager,Rota,Lista de eventos,Notificação de alerta,/ftm/ft/alarm-notification,Descrição filtros e tabela de prioridade,Filtrar e consultar configuração,Verificada no vazio,Criação indisponível ao perfil,10
M02,FT Manager,Rota,Configuração,Registro de login,/ftm/login-log,Cards filtros e logs,Segmentar filtrar exportar e configurar,Verificada,Estados/traduções e retenção,10
M03,FT Manager,Rota,Usuários,Usuário,/ftm/user-manage,Filtros tabela contato/escopo/auditoria,Adicionar ativar revelar editar e excluir,Verificada sem mutações,Permissões elevadas e pós-ação,10
M04,FT Manager,Rota,Usuários,Adicionar usuário,/ftm/ft/user-manage/add,Stepper dados/função/escopo,Preencher mostrar senha salvar e seguir,Verificada sem salvar,Matriz real de funções/dados,10
M05,FT Manager,Rota,Tarefas,Vídeo da evidência,/ftm/ft/evidence-list,Abas filtros cards e modos,Selecionar visualizar enviar compartilhar,Verificada,Operações dos ícones e estados não concluídos,10
M06,FT Manager,Rota,Tarefas,Detalhes de evidência,/ftm/ft/evidence/detail,Metadados mosaico timeline e mapa,Reproduzir alternar canal compartilhar/exportar,Verificada sem ações externas,Nomes/efeitos dos seis atalhos,10
M07,FT Manager,Rota,Tarefas,Tarefas de download de áudio,/ftm/task/issue-audio,Abas período e tabela de progresso,Filtrar atualizar e administrar tarefa,Verificada no vazio,Falha/retry/cancelamento,10
M08,FT Manager,Rota,Embarcadores,Regras de Compartilhamento,/ftm/ft/shipper-vehicle,Árvore filtros tabela e toolbar,Criar validar filtrar exportar,Verificada no vazio,Pós-validação e estados populados,10
M09,FT Manager,Rota,Embarcadores,Criar Regra,/ftm/ft/shipper-vehicle/auth,Duas colunas e resumos selecionados,Adicionar/deletar veículos/embarcadores e salvar,Verificada sem salvar,Pós-criação vigência e revogação,10
O01,FT Vision,Fluxo derivado,Monitoramento,Vídeo em tempo real,Menu do veículo,Visualização ao vivo multicanal,Abrir/assistir canais,Somente item de menu,Layout controles e consumo,02/13
O02,FT Vision,Fluxo derivado,Monitoramento,Envio de áudio,Menu do veículo,Fluxo de transmissão ao equipamento,Selecionar áudio/enviar,Somente item de menu,Formato confirmação progresso e auditoria,02/13
O03,FT Vision,Fluxo derivado,Monitoramento,Compartilhamento de viagem,Menu do veículo,Configuração de compartilhamento,Criar/revogar link ou destinatário,Somente item de menu,Escopo validade privacidade e auditoria,02/13
O04,FT Vision,Drawer,Evidências,Solicitação de vídeo,Adicionar na biblioteca,Veículos tempo duração tipo canais rede velocidade,Salvar/cancelar solicitação,Inspecionado sem salvar,Pós-criação estimativa e interrupção,03
O05,FT Vision,Menu contextual,Evidências,Ações do alerta,Card selecionado,Validação favorito e ações externas,Executar ação individual,Inspecionado sem mutação,Confirmação efeitos e permissões,03
O06,FT Vision,Fluxo derivado,Evidências,Validação/rejeição de evento,X check e botão de validação,Classificação/tratamento do alerta,Validar rejeitar e justificar,Não executado,Formulário resultado e reversão,03/13
O07,FT Vision,Fluxos derivados,Evidências,Distribuição de evidência,Menu do alerta,E-mail relatório evidências share e vínculo,Enviar/exportar/compartilhar/vincular,Não executado,Destinatários formato expiração e auditoria,03/13
O08,FT Vision,Modal,Relatórios,Prévia de relatório,Visualização do modelo,Miniatura/estrutura do relatório,Fechar percorrer/confirmar,Testado parcialmente,Rótulos e geração não confirmados,04
O09,FT Manager,Modal,Embarcadores,Selecionar veículos,Adicionar veículo,Filtros lista selecionados e contador,Selecionar limpar confirmar/cancelar,Testado sem seleção,Escopo grande e seleção paginada,10
O10,FT Manager,Modal,Embarcadores,Selecionar embarcadores,Adicionar embarcador,Filtro lista hierarquia e selecionados,Selecionar paginar confirmar/cancelar,Testado sem seleção,Seleção através de páginas,10
O11,FT Vision,Dependência,Evidências,Selecionar veículo/data,Reprodução de vídeo,Veículo habilita data e gravações,Selecionar na ordem e carregar,Inspecionado,Comportamento com gravação,03
O12,Compartilhado,Padrão transversal,Listas,Filtros tabelas e paginação,Várias telas,Cards de filtros tabelas abas e estados,Aplicar limpar recolher ordenar paginar selecionar,Testado em amostras,Comportamento uniforme em todas as rotas,00/07
